Course name,Department code,Course code,T,P,C,Tutorial,Lecturer name,Lecturer Title,Lecturer Id,Section code,Section name,Year,Section department,Class size
Applied Electricity,EE,151,2,2,3,0,E.A Frimpong,Dr,,,,1,Chemical,100
Communication Skills I,ENGL,157,2,0,2,0,P. Yeboah,Dr,,,,1,Chemical,100
Algebra,MATH,151,4,1,4,0,J. Ackora- Prah,Dr,,,,1,Chemical,100
Technical Drawing,ME,159,1,2,2,0,A. K. Sunnu,Dr,,,,1,Chemical,100
Inorganic Chemistry for Engineers,CHE,151,2,0,2,0,G. Darko,Dr,,,,1,Chemical,100
Organic Chemistry for Engineers,CHE,153,2,0,2,0,M. Badu,Dr,,,,1,Chemical,100
Practical Chemistry I,CHEM,169,0,6,3,0,J. K. Mensah,Dr,,,,1,Chemical,100
Engineering in Society,CENG,291,0,8,2,0,E. K. Baah- Ennumh,Dr,,,,2,Chemical,150
Chemical Process Calculations I,CHE,251,2,0,2,0,M. A. Rockson,Dr,,,,2,Chemical,150
Chemical Engineering Thermodynamics I,CHE,253,2,0,2,0,J. Ahiekpor,Dr,,,,2,Chemical,150
Fluid Transport,CHE,255,3,0,3,0,Zs. Momade,Dr,,,,2,Chemical,150
Analytical Chemistry for Chemical Engineers,CHE,257,3,0,3,0,P. Boakye,Dr,,,,2,Chemical,150
Chemical Process Industries,CHE,259,2,0,2,0,B. Afotey,Dr,,,,2,Chemical,150
Computer Application for Engineers,CHE,261,1,3,2,0,M. F. Baidoo,Dr,,,,2,Chemical,150
Mass Transfer Processes,CHE,351,2,1,0,0,E. G. Ankudey,Dr,,,,3,chemical,120
Chemical Engineering Laboratory I,CHE,353,2,1,0,0,E. Awarikabey,Dr,,,,3,chemical,120
Process Engineering Project I,CHE,355,2,1,0,0,All Staff,Dr,,,,3,chemical,120
Experimental Data Analysis,CHE,357,2,1,0,0,M. A. Rockson,Dr,,,,3,chemical,120
Mechanical Separation Processes,CHE,359,2,1,0,0,L. Darkwah,Dr,,,,3,chemical,120
Silicate Technology I,CHE,361,2,0,0,0,Zs. Momade,Dr,,,,3,chemical,120
Polymer Technology,CHE,363,2,0,0,0,M. Y. Mensah,Dr,,,,3,chemical,120
Natural Gas Processing Technology,CHE,371,2,0,0,0,E. G. Ankudey,Dr,,,,3,chemical,120
Introductory Economics I,ECON,151,2,0,0,0,J. D. Bosco,Dr,,,,3,chemical,120
French For Communication Purposes I,FC,181,2,0,0,0,A. Dassoneville,Dr,,,,3,chemical,120
Chemical Process Design and Economics,CHE,451,4,0,4,0,B. Afotey,Dr,,,,4,chemical,80
Plant Design Project I,CHE,453,0,6,3,0,All staff,Dr,,,,4,chemical,80
Process Control and Instrumentation,CHE,455,2,0,2,0,E. K. Baah-Ennumh,Dr,,,,4,chemical,80
Chemical Engineering Laboratory II,CHE,457,0,6,3,0,E. Awarikabey,Dr,,,,4,chemical,80
Safety and Pollution Control,CHE,459,3,0,3,0,M. Y. Mensah,Dr,,,,4,chemical,80
Computer Optimization Methods,CHE,461,2,0,2,0,E. K. Baah-Ennumh,Dr,,,,4,chemical,80
Fuel And Combustion Technology,PCE,461,2,0,2,0,M. Y. Woode,Dr,,,,4,chemical,80
Biochemical Technology,CHE,467,2,0,2,0,N. Y. Asiedu,Dr,,,,4,chemical,80
Inoragnic Chemistry for Engineers,CHE,151,2,0,2,0,S. E. Agorku,Dr,,,,1,Petrochemical,70
Oragnic Chemistry for Engineers,CHE,153,2,0,2,0,M. Badu,Dr,,,,1,Petrochemical,70
Practical Chemistry I,CHEM,169,0,6,3,0,J. K. Mensah,Dr,,,,1,Petrochemical,70
Applied Electricity,EE,151,2,2,3,0,E. A. Frimpong,Dr,,,,1,Petrochemical,70
Communication Skills I,ENGL,157,2,0,2,0,P. Yeboah,Dr,,,,1,Petrochemical,70
Algebra,MATH,151,4,1,4,0,J. Ackorah- Prah,Dr,,,,1,Petrochemical,70
Technical Drawing,ME,159,1,2,2,0,F. Davis,Dr,,,,1,Petrochemical,70
Engineering in Society,CENG,291,0,8,2,0,E. K. Baah- Ennumh,Dr,,,,2,Petrochemical,80
Chemical Process Calculations I,CHE,251,2,0,2,0,M. A. Rockson,Dr,,,,2,Petrochemical,80
Chemical Engineering Thermodynamics I,CHE,253,2,0,2,0,J. Ahiekpor,Dr,,,,2,Petrochemical,80
Fluid Transport,CHE,255,3,0,3,0,M. A. Rockson,Dr,,,,2,Petrochemical,80
Analytical Chemistry for Chemical Engineers,CHE,257,3,0,3,0,P. Boakye,Dr,,,,2,Petrochemical,80
Computer Application for Engineers,CHE,261,1,3,2,0,E. Awarikabey,Dr,,,,2,Petrochemical,80
Introduction to Petrochemical Industries,PCE,253,2,0,2,0,M. F. Baidoo,Dr,,,,2,Petrochemical,80
Differential Equations,MATH,251,4,1,4,0,Benedict Barnes,Dr,,,,2,Petrochemical,80
Experimental Data Analysis,CHE,357,3,0,3,0,L. Darkwah,Dr,,,,3,Petrochemical,85
Separation Processes I,PCE,351,3,0,3,0,E. G. Ankudey,Dr,,,,3,Petrochemical,85
Petrochemical Engineering Laboratory I,PCE,353,0,4,2,0,E. Awarikabey,Dr,,,,3,Petrochemical,85
Fire and Safety Engineering,PCE,355,2,0,2,0,Zs. Momade,Dr,,,,3,Petrochemical,85
Organic and Petrochemical Synthesis,PCE,357,2,0,2,0,M. Y. Woode,Dr,,,,3,Petrochemical,85
Petrochemical Fluid Properties,PCE,359,2,0,2,0,E. G. Ankudey,Dr,,,,3,Petrochemical,85
Polymer Technology,CHE,363,2,0,2,0,M. Y. Mensah,Dr,,,,3,Petrochemical,85
Essential Oils,CHE,367,2,0,2,0,M. Y. Woode,Dr,,,,3,Petrochemical,85
Introduction to Economics I,ECON,151,2,0,2,0,J. D. Bosco,Dr,,,,3,Petrochemical,85
French for Communication Purposes I,FC,181,2,0,2,0,B. Ampong,Dr,,,,3,Petrochemical,85
Chemical Process Design and Economics,CHE,451,4,0,4,0,B. Afotey,Dr,,,,4,Petrochemical,130
Process Control and Instrumentation,CHE,455,2,0,2,0,M. F. Baidoo,Dr,,,,4,Petrochemical,130
Catalysis,PCE,451,2,0,2,0,M. F. Baidoo,Dr,,,,4,Petrochemical,130
Project I,PCE,453,0,5,2,0,All Staff,Dr,,,,4,Petrochemical,130
Pollution Control in Petrochemical Industry,PCE,455,2,0,2,0,P. Boakye,Dr,,,,4,Petrochemical,130
Corrosion Engineering,PCE,457,2,0,2,0,L. Darkwah,Dr,,,,4,Petrochemical,130
Computer Optimisation Methods,CHE,461,2,0,2,0,E. K. Baah- Ennumh,Dr,,,,4,Petrochemical,130
Fuel and Combustion Technology,PCE,461,2,0,2,0,M. Y. Woode,Dr,,,,4,Petrochemical,130
Pharmaceutical Technology,CHE,471,2,0,2,0,R. Johnson,Dr,,,,4,Petrochemical,130
Fertilizer Technology,CHE,365,2,0,2,0,L. Darkwah,Dr,,,,4,Petrochemical,130
Applied Electricity,EE,151,2,2,3,0,E.A Frimpong,Dr,,,,1,Material,140
Communication Skills,ENGL,157,2,0,2,0,J. Aning,Dr,,,,1,Material,140
Algebra,MATH,151,4,1,4,0,A. Prah,Dr,,,,1,Material,140
Technical Drawing,ME,159,1,3,2,0,I. A. Edwin,Dr,,,,1,Material,140
Engineering Technology I,ME,195,0,5,2,0,I. A. Edwin,Dr,,,,1,Material,140
Chemistry for Materials Engineers I,MSE,151,2,1,2,0,F. O. Agyemang,Dr,,,,1,Material,140
Introduction to Info Tech,MSE,153,1,2,2,0,K. Mensah-Darkwa,Dr,,,,1,Material,140
Engineering in Society,CENG,291,2,0,2,0,All Academic Staff,Dr,,,,2,Material,110
Differential Equations,MATH,251,4,1,4,0,F.T. Oduro,Dr,,,,2,Material,110
Strength of Materials I,ME,255,3,0,3,0,K. Mensah-Darkwa,Dr,,,,2,Material,110
Transport Phenomena in Mat Proc. I,MSE,251,2,0,2,0,A. A. Adjaottor,Dr,,,,2,Material,110
Mechanical Behaviour of Materials,MSE,253,3,0,3,0,S. Kwofie,Dr,,,,2,Material,110
Principles of Materials Science II,MSE,255,2,0,2,0,E. K. Arthur,Dr,,,,2,Material,110
Indigenous Processing,MSE,257,1,1,1,0,E. K. Arthur,Dr,,,,2,Material,110
Probability and Statistics,MATH,353,2,1,2,0,I.A Adjei,Dr,,,,3,Material,90
Strength of Materials II,ME,355,3,0,3,0,K. Mensah-Darkwa,Dr,,,,3,Material,90
Engineering Ceramics I,MSE,351,3,0,3,0,A. Andrews,Dr,,,,3,Material,90
Pyrometallurgy,MSE,353,3,0,3,0,A. Andrews,Dr,,,,3,Material,90
Polymer Processing,MSE,355,2,0,2,0,A. A. Adjaottor,Dr,,,,3,Material,90
Foundry Technology I,MSE,357,3,0,3,0,S. Kwofie,Dr,,,,3,Material,90
Materials Engineering Lab. I,MSE,359,0,5,2,0,E. Gikunoo,Dr,,,,3,Material,90
Engineering Economy and Mgt,ME,491,3,0,3,0,A.K Intsiful,Dr,,,,4,Material,50
Composite Materials,MSE,451,3,0,3,0,E. Gikunoo,Dr,,,,4,Material,50
Corrosion of Eng. Materials,MSE,453,3,0,3,0,A. Andrews,Dr,,,,4,Material,50
Electrical/Magnetic Properties of Mats.,MSE,455,3,0,3,0,F. O. Agyemang,Dr,,,,4,Material,50
Metal Forming Processes,MSE,457,3,0,3,0,S. Kwofie,Dr,,,,4,Material,50
Vacation training,MSE,459,0,0,0,0,All Academic Staff,Dr,,,,4,Material,50
Project 1,MSE,497,0,6,3,0,All Academic Staff,Dr,,,,4,Material,50
Applied Electricity,EE,151,2,2,3,0,E. A. Frimpong,Dr,,,,1,Metallurgial,75
Communication Skills I,ENGL,157,2,0,2,0,J. Aning,Dr,,,,1,Metallurgial,75
Basic Geology,GED,151,2,1,2,0,S.K.Y Gawu,Dr,,,,1,Metallurgial,75
Algebra,MATH,151,4,1,4,0,W. Obeng Dentah,Dr,,,,1,Metallurgial,75
Technical Drawing,ME,159,1,3,2,0,I. A. Edwin,Dr,,,,1,Metallurgial,75
Engineering Technology I,ME,195,0,5,2,0,I. A. Edwin,Dr,,,,1,Metallurgial,75
Introduction to Information Technology,MSE,153,1,2,2,0,K. Mensah-Darkwa,Dr,,,,1,Metallurgial,75
Engineering in Society,CENG,291,2,0,2,0,All Academic Staff,Dr,,,,2,Metallurgical,60
Mineralogy,GED,251,2,2,3,0,C. Amejoe,Dr,,,,2,Metallurgical,60
Differential Equations,MATH,251,4,1,4,0,W. Obeng Dentah,Dr,,,,2,Metallurgical,60
Metallurgical Thermodynamics,METE,251,3,0,3,0,Y. H. Gbologah,Dr,,,,2,Metallurgical,60
Transport Phenomena in Materials Processing I,MSE,251,3,0,3,0,A. A. Adjaottor,Dr,,,,2,Metallurgical,60
Mechanical Behaviour of Materials,MSE,253,2,0,2,0,S. Kwofie,Dr,,,,2,Metallurgical,60
Principles of Materials Science II,MSE,255,2,0,2,0,E. K. Arthur,Dr,,,,2,Metallurgical,60
Indigenous Processing,MSE,257,1,1,1,0,E. K. Arthur,Dr,,,,2,Metallurgical,60
Probability and Statistics,MATH,353,2,1,2,0,D. Asamoah,Dr,,,,3,Metallurgical,75
Principles of Hydrometallurgy,METE,351,3,0,3,0,F. W. Y. Momade,Dr,,,,3,Metallurgical,75
Mineral Processing II,METE,355,3,0,3,0,B. Koomson,Dr,,,,3,Metallurgical,75
Metallurgical Eng. Laboratory I,METE,357,0,4,2,0,E. Gikunoo,Dr,,,,3,Metallurgical,75
Pyrometallurgy,MSE,353,3,0,3,0,E. Gikunoo,Dr,,,,3,Metallurgical,75
Foundry Technology I,MSE,357,3,0,3,0,S. Kwofie,Dr,,,,3,Metallurgical,75
Engineering Economics and Management,ME,491,3,0,3,0,A.K Intsiful,Dr,,,,4,Metallurgical,55
Corrosion And Corrosion Control,METE,457,3,0,3,0,A. Andrews,Dr,,,,4,Metallurgical,55
Metalworking Processes,MSE,457,3,0,3,0,S. Kwofie,Dr,,,,4,Metallurgical,55
Mettalurgical Plant Design/Operations,METE,451,3,1,3,0,B. Koomson,Dr,,,,4,Metallurgical,55
Hydrometallurgy of light metals,METE,453,2,0,2,0,F. W. Y. Momade,Dr,,,,4,Metallurgical,55
Vacation training,METE,455,0,3,1,0,All Academic Staff,Dr,,,,4,Metallurgical,55
Project 1,METE,497,0,6,3,0,All Academic Staff,Dr,,,,4,Metallurgical,55
Algebra,MATH,151,4,1,4,0,F. T. Oduro,Dr,,,,1,Biomedical,87
Technical Drawing,ME,159,1,3,2,0,Y. A. K. Fiagbe,Dr,,,,1,Biomedical,87
Communication Skills I,ENGL,157,2,0,2,0,B. Ampong,Dr,,,,1,Biomedical,87
Basic Mechanics,ME,161,3,1,3,0,F. W. Adam,Dr,,,,1,Biomedical,87
Applied Electricity,EE,151,2,2,3,0,E. A. Frimpong,Dr,,,,1,Biomedical,87
Cell Biology,BME,161,2,0,2,0,Y. Ahmed/ SMS,Dr,,,,1,Biomedical,87
